VLC;Jarak;Risk
0.2;310;Bahaya
0.2;280;Bahaya
0;317;Bahaya
0.64;313;Bahaya
0.2;308;Bahaya
0.95;316;Bahaya
0.91;310;Bahaya
0.95;280;Bahaya
0.84;317;Bahaya
0.94;313;Bahaya
0.2;308;Bahaya
0.26;302;Bahaya
0.42;289;Bahaya
0.57;310;Bahaya
0.2;304;Bahaya
0;313;Bahaya
0.19;329;Bahaya
0;280;Bahaya
0;317;Bahaya
0;310;Bahaya
0.5;316;Bahaya
0.19;310;Bahaya
0.2;280;Bahaya
0.19;317;Bahaya
0;329;Bahaya
0.19;316;Bahaya
0.57;310;Bahaya
0.23;280;Bahaya
0.16;317;Bahaya
0.19;313;Bahaya
0.2;289;Bahaya
0.26;310;Bahaya
0.2;304;Bahaya
0.28;313;Bahaya
0.2;352;Hati-Hati
0.2;350;Hati-Hati
0.15;350;Hati-Hati
0.91;359;Bahaya
0.72;384;Bahaya
0.64;357;Hati-Hati
0.48;356;Hati-Hati
0.16;365;Hati-Hati
0.56;363;Hati-Hati
0.2;356;Bahaya
0.74;358;Bahaya
0.73;347;Bahaya
0.07;329;Bahaya
0.2;360;Bahaya
0.18;352;Bahaya
0.73;355;Bahaya
0.3;351;Bahaya
0.2;370;Bahaya
0.2;382;Bahaya
0.24;349;Bahaya
0.44;355;Bahaya
0.19;352;Bahaya
0.48;363;Bahaya
0.2;354;Bahaya
0.28;358;Bahaya
0.21;347;Bahaya
0.23;329;Bahaya
0.23;360;Bahaya
0.19;352;Bahaya
0.2;355;Bahaya
0.19;351;Bahaya
0.2;370;Bahaya
0.21;382;Bahaya
0.2;349;Bahaya
0.2;355;Bahaya
0.38;352;Bahaya
0.2;363;Bahaya
0.2;354;Bahaya
0.19;358;Bahaya
0.46;347;Bahaya
0.5;329;Bahaya
0.2;360;Bahaya
0.26;352;Bahaya
0.19;355;Bahaya
0.49;370;Bahaya
0.2;382;Bahaya
0.2;349;Bahaya
0.5;355;Bahaya
0.23;351;Bahaya
0.5;370;Bahaya
0.31;382;Bahaya
0.19;349;Bahaya
0.32;355;Bahaya
0.19;352;Bahaya
0.19;360;Bahaya
0.19;352;Bahaya
0.19;355;Bahaya
0.28;370;Bahaya
0.2;401;Hati-Hati
0.2;421;Hati-Hati
0.2;410;Hati-Hati
0.2;413;Hati-Hati
0.2;390;Hati-Hati
0.16;431;Hati-Hati
0.16;418;Hati-Hati
0.2;421;Hati-Hati
0.2;410;Hati-Hati
0.2;413;Hati-Hati
0.03;390;Hati-Hati
0.19;418;Hati-Hati
0.03;421;Hati-Hati
0.19;403;Hati-Hati
0.2;413;Hati-Hati
0.2;401;Hati-Hati
0.2;380;Hati-Hati
0.2;398;Hati-Hati
0.2;370;Hati-Hati
0.2;413;Hati-Hati
0.2;401;Hati-Hati
0.2;380;Hati-Hati
0.2;398;Hati-Hati
0.2;370;Hati-Hati
0.27;413;Hati-Hati
0.2;421;Hati-Hati
0.2;413;Hati-Hati
0.2;413;Hati-Hati
0.2;390;Hati-Hati
0.2;422;Hati-Hati
0.2;431;Hati-Hati
0.2;418;Hati-Hati
0.2;421;Hati-Hati
0.2;403;Hati-Hati
0.2;410;Hati-Hati
0.2;413;Hati-Hati
0.2;390;Hati-Hati
0.2;418;Hati-Hati
0.19;421;Hati-Hati
0.2;403;Hati-Hati
0.32;421;Hati-Hati
0.2;418;Hati-Hati
0.19;421;Hati-Hati
0.19;403;Hati-Hati
0.2;410;Hati-Hati
0.2;413;Hati-Hati
0.31;390;Hati-Hati
0.72;421;Bahaya
0.24;413;Hati-Hati
0.96;390;Bahaya
0.67;418;Bahaya
0.2;421;Hati-Hati
0.64;403;Hati-Hati
0.12;410;Hati-Hati
0.27;413;Hati-Hati
0.27;401;Hati-Hati
0.27;380;Hati-Hati
0.2;410;Bahaya
0.2;402;Bahaya
0.11;396;Bahaya
0.34;421;Hati-Hati
0.5;411;Bahaya
0.2;418;Bahaya
0.19;420;Hati-Hati
0.31;400;Bahaya
0.37;420;Hati-Hati
0.2;421;Hati-Hati
0.19;411;Bahaya
0.16;402;Bahaya
0.22;396;Bahaya
0.22;421;Hati-Hati
0.22;411;Bahaya
0.2;418;Bahaya
0.21;464;Hati-Hati
0.22;403;Bahaya
0.2;500;Hati-Hati
0.18;402;Bahaya
0.19;396;Bahaya
0.19;421;Hati-Hati
0.32;411;Bahaya
0.2;418;Bahaya
0.94;420;Hati-Hati
0.5;407;Bahaya
0.5;418;Bahaya
0.47;410;Bahaya
0.21;388;Bahaya
0.04;419;Bahaya
0.36;400;Bahaya
0.24;420;Hati-Hati
0.64;400;Bahaya
0.19;420;Hati-Hati
0.19;421;Hati-Hati
0.2;411;Bahaya
0.49;410;Bahaya
0.19;388;Bahaya
0.19;419;Bahaya
0.19;400;Bahaya
0.19;420;Hati-Hati
0.19;421;Hati-Hati
0.2;411;Bahaya
0.2;418;Bahaya
0.21;420;Hati-Hati
0.19;413;Bahaya
0.2;450;Hati-Hati
0.2;444;Hati-Hati
0.22;460;Hati-Hati
0.2;459;Hati-Hati
0.19;468;Hati-Hati
0.19;467;Hati-Hati
0;457;Hati-Hati
0.19;463;Hati-Hati
0.19;451;Hati-Hati
0.15;459;Hati-Hati
0.19;456;Hati-Hati
0.34;455;Hati-Hati
0.2;440;Hati-Hati
0.5;460;Hati-Hati
0.2;461;Hati-Hati
0.19;453;Hati-Hati
0.2;445;Hati-Hati
0.42;459;Hati-Hati
0.19;468;Hati-Hati
0.2;467;Hati-Hati
0.2;457;Hati-Hati
0.64;463;Hati-Hati
0.45;451;Hati-Hati
0.52;460;Hati-Hati
0.31;461;Hati-Hati
0.5;453;Hati-Hati
0.5;445;Hati-Hati
0.34;459;Hati-Hati
0.19;468;Hati-Hati
0.19;467;Hati-Hati
0.15;457;Hati-Hati
0.37;463;Hati-Hati
0.19;451;Hati-Hati
0.2;463;Hati-Hati
0.2;451;Hati-Hati
0.19;459;Hati-Hati
0.15;456;Hati-Hati
0.31;455;Hati-Hati
0.22;459;Hati-Hati
0.2;456;Hati-Hati
0.33;504;Hati-Hati
0.01;509;Hati-Hati
0.01;523;Hati-Hati
0.64;519;Hati-Hati
0.2;497;Hati-Hati
0.02;487;Hati-Hati
0.2;520;Hati-Hati
0.2;513;Hati-Hati
0.49;521;Hati-Hati
0.19;520;Hati-Hati
0.2;489;Hati-Hati
0.19;487;Hati-Hati
0.19;519;Hati-Hati
0.31;501;Hati-Hati
0.19;509;Hati-Hati
0.5;510;Hati-Hati
0.2;532;Hati-Hati
0.64;521;Hati-Hati
0.5;498;Hati-Hati
0.01;485;Hati-Hati
0.19;489;Hati-Hati
0.2;493;Hati-Hati
0.19;487;Hati-Hati
0.5;520;Hati-Hati
0.2;513;Hati-Hati
0.2;521;Hati-Hati
0.2;520;Hati-Hati
0.19;489;Hati-Hati
0.2;487;Hati-Hati
0.5;519;Hati-Hati
0.34;501;Hati-Hati
0.2;509;Hati-Hati
0.2;510;Hati-Hati
0.2;532;Hati-Hati
0.2;501;Hati-Hati
0.19;509;Hati-Hati
1.24;510;Hati-Hati
0.5;532;Hati-Hati
0.2;521;Hati-Hati
0.32;498;Hati-Hati
0.19;485;Hati-Hati
0.5;489;Hati-Hati
0.38;493;Hati-Hati
0.19;487;Hati-Hati
0.2;520;Hati-Hati
0.2;513;Hati-Hati
0.48;520;Hati-Hati
0;519;Hati-Hati
0.03;497;Hati-Hati
0.04;487;Hati-Hati
0.17;520;Hati-Hati
0.23;513;Hati-Hati
0.5;521;Hati-Hati
0.16;520;Hati-Hati
0.37;489;Hati-Hati
